playID,homeAbbr,awayAbbr,homeScore,awayScore
333060251_4_3,TEX,KU,0,0
333060251_4_5,TEX,KU,0,0
333060251_4_6,TEX,KU,0,0
333060251_4_7,TEX,KU,0,0
333060251_4_8,TEX,KU,0,0
333060251_4_9,TEX,KU,0,0
333060251_4_11,TEX,KU,0,0
333060251_4_12,TEX,KU,0,0
333060251_4_13,TEX,KU,0,0
333060251_4_14,TEX,KU,0,0
333060251_4_15,TEX,KU,0,0
333060251_4_16,TEX,KU,0,0
333060251_4_17,TEX,KU,6,0
333060251_5_0,TEX,KU,7,0
333060251_5_1,TEX,KU,7,0
333060251_5_2,TEX,KU,7,0
333060251_5_3,TEX,KU,7,0
333060251_5_4,TEX,KU,7,0
333060251_5_5,TEX,KU,7,0
333060251_6_0,TEX,KU,7,0
333060251_6_1,TEX,KU,7,0
333060251_6_2,TEX,KU,7,0
333060251_6_3,TEX,KU,7,0
333060251_6_4,TEX,KU,7,0
333060251_6_5,TEX,KU,7,0
333060251_7_1,TEX,KU,7,0
333060251_7_2,TEX,KU,7,0
333060251_7_3,TEX,KU,7,0
333060251_8_0,TEX,KU,7,0
333060251_8_1,TEX,KU,7,0
333060251_8_3,TEX,KU,7,0
333060251_8_4,TEX,KU,7,0
333060251_8_5,TEX,KU,7,0
333060251_8_6,TEX,KU,7,0
333060251_8_7,TEX,KU,13,0
333060251_9_0,TEX,KU,14,0
333060251_9_1,TEX,KU,14,0
333060251_9_2,TEX,KU,14,0
333060251_10_0,TEX,KU,14,0
333060251_10_1,TEX,KU,14,0
333060251_10_3,TEX,KU,14,0
333060251_11_1,TEX,KU,14,0
333060251_11_2,TEX,KU,14,0
333060251_11_3,TEX,KU,14,0
333060251_11_4,TEX,KU,14,0
333060251_12_0,TEX,KU,14,3
333060251_12_1,TEX,KU,14,3
333060251_12_3,TEX,KU,14,3
333060251_12_4,TEX,KU,14,3
333060251_12_5,TEX,KU,14,3
333060251_13_0,TEX,KU,14,6
333060251_13_1,TEX,KU,14,6
333060251_13_2,TEX,KU,14,6
333060251_13_3,TEX,KU,14,6
333060251_13_4,TEX,KU,14,6
333060251_13_5,TEX,KU,14,6
333060251_13_6,TEX,KU,14,6
333060251_13_7,TEX,KU,14,6
333060251_13_8,TEX,KU,14,6
333060251_14_0,TEX,KU,14,6
333060251_14_1,TEX,KU,14,6
333060251_14_2,TEX,KU,14,6
333060251_15_0,TEX,KU,14,6
333060251_15_1,TEX,KU,14,6
333060251_15_3,TEX,KU,14,6
333060251_17_0,TEX,KU,21,6
333060251_17_1,TEX,KU,21,6
333060251_17_3,TEX,KU,21,6
333060251_18_0,TEX,KU,21,6
333060251_18_1,TEX,KU,21,6
333060251_18_2,TEX,KU,21,6
333060251_18_3,TEX,KU,21,6
333060251_18_4,TEX,KU,21,6
333060251_18_5,TEX,KU,21,6
333060251_18_6,TEX,KU,21,6
333060251_18_7,TEX,KU,21,6
333060251_18_8,TEX,KU,27,6
333060251_19_0,TEX,KU,0,0
333060251_19_1,TEX,KU,28,6
333060251_19_2,TEX,KU,28,6
333060251_19_3,TEX,KU,28,6
333060251_19_4,TEX,KU,28,6
333060251_20_0,TEX,KU,28,6
333060251_20_1,TEX,KU,28,6
333060251_20_2,TEX,KU,28,6
333060251_21_0,TEX,KU,28,6
333060251_21_1,TEX,KU,28,6
333060251_22_0,TEX,KU,28,6
333060251_22_1,TEX,KU,28,6
333060251_22_2,TEX,KU,28,6
333060251_22_3,TEX,KU,28,6
333060251_22_4,TEX,KU,34,6
333060251_23_0,TEX,KU,35,6
333060251_23_1,TEX,KU,35,6
333060251_23_2,TEX,KU,35,6
333060251_23_3,TEX,KU,35,6
333060251_23_4,TEX,KU,35,6
333060251_23_5,TEX,KU,35,6
333060251_23_6,TEX,KU,35,6
333060251_23_7,TEX,KU,35,6
333060251_23_8,TEX,KU,35,12
