playID,gameId,year,week,offenseAbbr,defenseAbbr,quarter,clock,type,down,distance,yardLine,yardsGained
400763452_25_3,400763452,2015,10,KU,TEX,4,00:13:25,Pass Incompletion,3,7,72,0
400763452_27_1,400763452,2015,10,KU,TEX,4,00:08:49,Rush,1,10,75,4
400763452_27_2,400763452,2015,10,KU,TEX,4,00:08:49,Rush,2,6,71,5
400763452_27_3,400763452,2015,10,KU,TEX,4,00:08:49,Rush,3,1,66,4
400763452_27_4,400763452,2015,10,KU,TEX,4,00:08:49,Pass Interception Return,1,10,62,0
400763452_29_0,400763452,2015,10,KU,TEX,4,00:04:45,Rush,1,10,80,4
400763452_29_1,400763452,2015,10,KU,TEX,4,00:04:45,Rush,2,6,76,7
400763452_29_2,400763452,2015,10,KU,TEX,4,00:04:45,Rush,1,10,69,4
400763452_29_3,400763452,2015,10,KU,TEX,4,00:04:45,Rush,2,6,65,10
400763452_29_4,400763452,2015,10,KU,TEX,4,00:04:45,Pass Incompletion,1,10,55,0
400763452_29_5,400763452,2015,10,KU,TEX,4,00:04:45,Rush,2,10,55,3
400763452_29_6,400763452,2015,10,KU,TEX,4,00:04:45,Rush,3,7,52,8
400763452_29_7,400763452,2015,10,KU,TEX,4,00:04:45,Rush,1,10,44,7
400763452_29_8,400763452,2015,10,KU,TEX,4,00:04:45,Pass Incompletion,2,3,37,0
400763452_29_10,400763452,2015,10,KU,TEX,4,00:04:45,Rush,3,8,42,23
400763452_29_11,400763452,2015,10,KU,TEX,4,00:01:07,Passing Touchdown,1,10,19,19
400763458_0_2,400763458,2015,11,WVU,TEX,1,00:15:00,Rush,1,15,20,14
400763458_0_3,400763458,2015,11,WVU,TEX,1,00:15:00,Pass Reception,2,1,34,8
400763458_0_4,400763458,2015,11,WVU,TEX,1,00:15:00,Rush,1,10,42,3
400763458_0_5,400763458,2015,11,WVU,TEX,1,00:15:00,Pass Reception,2,7,45,3
400763458_0_6,400763458,2015,11,WVU,TEX,1,00:15:00,Pass Interception Return,3,4,48,0
400763458_2_0,400763458,2015,11,WVU,TEX,1,00:12:05,Pass Incompletion,1,10,20,0
400763458_2_1,400763458,2015,11,WVU,TEX,1,00:12:05,Rush,2,10,20,2
400763458_2_2,400763458,2015,11,WVU,TEX,1,00:12:05,Pass Reception,3,8,22,3
400763458_4_1,400763458,2015,11,WVU,TEX,1,00:07:31,Rush,1,10,25,9
400763458_4_2,400763458,2015,11,WVU,TEX,1,00:07:31,Rush,2,1,34,2
400763458_4_4,400763458,2015,11,WVU,TEX,1,00:07:31,Rush,1,20,26,13
400763458_4_5,400763458,2015,11,WVU,TEX,1,00:07:31,Rush,2,7,39,2
